sample_id,species,population,subspecies,city_region,country,lat,long,western_hemisphere,coverage,relatedness,inbreeding,PC1,PC2,cluster
Ascu_A2,A. mellifera,A,A. m. scutellata,Marchorwe,Kenya,-0.243514,35.738985,N,57.9997,Unrelated,0.088881099,0.060329596,-0.007972574,2
Ascu_A3,A. mellifera,A,A. m. scutellata,Malewa,Kenya,-0.698225,36.36946,N,60.3425,Unrelated,0.102497688,0.059383338,-0.007260817,2
Ascu_A4,A. mellifera,A,A. m. scutellata,Malewa,Kenya,-0.698225,36.36946,N,57.5492,Unrelated,0.087535992,0.05854617,-0.00689521,2
Ascu_A5,A. mellifera,A,A. m. scutellata,Malewa,Kenya,-0.698225,36.36946,N,64.2577,Unrelated,0.087192317,0.058415842,-0.007789242,2
Ascu_A6,A. mellifera,A,A. m. scutellata,Gede Ruins,Kenya,-3.311134,40.017936,N,57.6673,Unrelated,0.095228028,0.057354052,-0.005845454,2
Ascu_A7,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,63.0326,Related,0.089892303,0.058431212,-0.006350717,2
Ascu_A8,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,57.4824,Related,0.084491742,0.059223798,-0.006573621,2
Ascu_A9,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,56.3165,Unrelated,0.083018711,0.060315487,-0.006678206,2
Ascu_B1,A. mellifera,A,A. m. scutellata,Marchorwe,Kenya,-0.243514,35.738985,N,60.6821,Unrelated,0.096898537,0.061605645,-0.009441512,2
Ascu_B5,A. mellifera,A,A. m. scutellata,Ichiara,Kenya,-0.453095,37.782025,N,58.8559,Unrelated,0.083886813,0.059266373,-0.007257351,2
Ascu_B6,A. mellifera,A,A. m. scutellata,Gede Ruins,Kenya,-3.311134,40.017936,N,59.4777,Unrelated,0.087064603,0.060414517,-0.007348489,2
Ascu_B7,A. mellifera,A,A. m. scutellata,,Tanzania,-7.092944,35.115032,N,59.6981,Unrelated,0.096206483,0.056202533,-0.007149526,2
Ascu_B8,A. mellifera,A,A. m. scutellata,,Tanzania,-7.092944,35.115032,N,68.4871,Unrelated,0.085625693,0.05875999,-0.007989152,2
Ascu_B9,A. mellifera,A,A. m. scutellata,,Tanzania,-7.092944,35.115032,N,64.8674,Unrelated,0.074270357,0.057898436,-0.007696391,2
Ascu_Bot2,A. mellifera,A,A. m. scutellata,Gaborone,Botswana,-24.72029,25.937353,N,55.871,Unrelated,0.091763741,0.056926456,-0.005760985,2
Ascu_k6,A. mellifera,A,A. m. scutellata,"Mt. Elgon, Chepkui",Kenya,1.068589,34.684871,N,20.0884,Unrelated,0.076018012,0.057134177,-0.008252786,2
Ascu_Ken1,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,9.82748,Unrelated,0.191582298,0.054711166,-0.003795347,2
Ascu_Ken10,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,8.00577,Unrelated,0.284244481,0.050750977,-0.002683934,2
Ascu_Ken11,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,8.80434,Unrelated,0.238800778,0.052152386,-0.003064539,2
Ascu_Ken12,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,12.8782,Unrelated,0.130545292,0.056458687,-0.008867841,2
Ascu_Ken13,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,9.89727,Unrelated,0.184906295,0.055421421,-0.004568098,2
Ascu_Ken14,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,15.795,Unrelated,0.1069565,0.060297419,-0.006688688,2
Ascu_Ken15,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,10.5057,Unrelated,0.176877155,0.05519341,-0.004959524,2
Ascu_Ken16,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,12.2628,Unrelated,0.142577796,0.056871936,-0.006273508,2
Ascu_Ken17,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,6.11946,Unrelated,0.391138846,0.044203943,3.89E-04,7
Ascu_Ken18,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,9.13805,Unrelated,0.243260956,0.052000486,-0.00338674,2
Ascu_Ken19,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,14.6713,Unrelated,0.119816825,0.057704814,-0.006798881,2
Ascu_Ken2,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,13.7097,Unrelated,0.127776464,0.057389401,-0.00671892,2
Ascu_Ken3,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,10.6817,Unrelated,0.174280909,0.057395577,-0.005763046,2
Ascu_Ken5,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,10.079,Unrelated,0.17850205,0.053026991,-0.005531603,2
Ascu_Ken6,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,9.21161,Unrelated,0.204722217,0.054373637,-0.004282647,2
Ascu_Ken7,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,9.26169,Unrelated,0.215680889,0.052651448,-0.004733816,2
Ascu_Ken8,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,12.6608,Unrelated,0.145083593,0.055520613,-0.006046492,2
Ascu_Ken9,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,9.42593,Unrelated,0.234623695,0.052678369,-0.003498479,2
Ascu_lamark1,A. mellifera,A,A. m. scutellata,Mandera Town,Kenya,3.934086,41.855199,N,59.3061,Related,0.10983266,0.058205478,-0.006042758,2
Ascu_lamark2,A. mellifera,A,A. m. scutellata,Mandera Town,Kenya,3.934086,41.855199,N,64.7494,Related,0.108395454,0.05535872,-0.005644346,2
Ascu_lamark3,A. mellifera,A,A. m. scutellata,Mandera Town,Kenya,3.934086,41.855199,N,62.8317,Unrelated,0.105577691,0.056536455,-0.005371381,2
Ascu_litZim1,A. mellifera,A,A. m. scutellata,Harare,Zimbabwe,-17.859502,31.055411,N,57.1766,Unrelated,0.084901862,0.05854532,-0.007921383,2
Ascu_litZim3,A. mellifera,A,A. m. scutellata,Harare,Zimbabwe,-17.859502,31.055411,N,56.3474,Unrelated,0.090356435,0.06012644,-0.007429892,2
Asim_yem2,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,60.1154,Unrelated,0.092742634,0.059384198,-0.006708353,2
Asim_yem3,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,58.7044,Related,0.091149943,0.057928964,-0.006255551,2
Asim_yem6,A. mellifera,A,A. m. monticola,Mandera West,Kenya,3.934086,41.855199,N,55.5599,Unrelated,0.10287649,0.060689337,-0.010280424,2
Asini_c1,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,6.59939,Unrelated,0.695812826,-0.128023331,-0.100012294,4
Asini_c10,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,5.73375,Unrelated,0.64333282,-0.12316306,-0.067425205,4
Asini_c2,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,8.79189,Unrelated,0.582380504,-0.125399203,-0.097268425,4
Asini_c3,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,6.54191,Unrelated,0.677423065,-0.125975856,-0.095708421,4
Asini_c4,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,6.15888,Unrelated,0.740201365,-0.125837709,-0.090015924,4
Asini_c5,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,7.34326,Unrelated,0.566451214,-0.12494684,-0.077008001,4
Asini_c6,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,5.68031,Unrelated,0.688050601,-0.125080281,-0.078203338,4
Asini_c7,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,6.42329,Unrelated,0.598591077,-0.124150804,-0.069397816,4
Asini_c8,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,6.54495,Unrelated,0.723659281,-0.127998969,-0.099201945,4
Asini_c9,A. mellifera,M,A. m. sinisxinyuan,Xinyuan,China,43.380623,83.482369,N,5.91094,Unrelated,0.642596499,-0.124885337,-0.07443764,4
Auni_mad10,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,19.982,Unrelated,0.552220471,0.074378071,-0.007323395,7
Auni_mad11,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,23.6741,Unrelated,0.575083438,0.071142606,-0.006380535,7
Auni_mad12,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,22.6416,Unrelated,0.559599044,0.073859787,-0.008377121,7
Auni_mad13,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,57.9356,Unrelated,0.565461301,0.075924707,-0.008638961,7
Auni_mad14,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,59.4136,Unrelated,0.552873835,0.075843175,-0.008839931,7
Auni_mad15,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,65.3965,Unrelated,0.570594545,0.075310995,-0.008365188,7
Auni_mad17,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,43.7314,Unrelated,0.56329923,0.075424639,-0.008749928,7
Auni_mad18,A. mellifera,U,A. m. unicolor,,Madagascar,-20.058857,46.354459,N,66.8431,Unrelated,0.545650926,0.075791899,-0.008209817,7
Ayem_eth1,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,57.7399,Related,0.095757398,0.057549338,-0.006797782,2
Ayem_eth10,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,50.0938,Related,0.096408739,0.056244012,-0.006945814,2
Ayem_eth3,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,55.3905,Related,0.10493343,0.055215764,-0.004696528,2
Ayem_eth4,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,68.441,Unrelated,0.087622805,0.058419751,-0.006058316,2
Ayem_eth7,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,62.3133,Related,0.103100835,0.053940735,-0.005108973,2
Ayem_eth8,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,69.2614,Related,0.10511018,0.057084055,-0.00634836,2
Ayem_eth9,A. mellifera,A,A. m. scutellata,Daba,Ethiopia,9.152086,38.003899,N,57.2796,Related,0.086830564,0.058159307,-0.007359489,2
BG2000_A,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,20.4229,Unrelated,0.061057619,-0.036293753,0.027960997,8
BG2000_B,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,19.343,Related,0.066651949,-0.034884184,0.029212359,8
BG2000_C,A. mellifera,SoCal,SoCal-This-Study,California,U.S.A,33.964025,-117.341792,Y,16.7428,Related,0.053230178,-0.035894096,0.028448057,8
c181,A. mellifera,C,A. m. carnica,North Rhine-Westphalia,Germany,51.15014,6.738865,N,27.0303,Unrelated,0.574203362,-0.102184816,0.112706954,6
c182,A. mellifera,C,A. m. carnica,North Rhine-Westphalia,Germany,51.15014,6.738865,N,26.0376,Unrelated,0.623327971,-0.10151378,0.123732715,6
c195,A. mellifera,C,A. m. carnica,"Novalija, Pag Island",Croatia,44.552708,14.887621,N,26.0031,Unrelated,0.706007497,-0.099328634,0.140444297,6
c196,A. mellifera,C,A. m. carnica,"Komorovac, Pag Island",Croatia,44.56642,14.934706,N,26.4525,Unrelated,0.704323637,-0.09822661,0.141677367,6
c199,A. mellifera,C,A. m. carnica,Baric Draga,Croatia,44.373326,15.275948,N,27.2528,Unrelated,0.71609883,-0.098385683,0.143723155,6
c200,A. mellifera,C,A. m. carnica,Sugarje,Croatia,44.438022,15.199842,N,24.9513,Unrelated,0.715187153,-0.099074154,0.14534363,6
c235,A. mellifera,C,A. m. carnica,,Slovenia,46.015913,14.490188,N,26.5404,Unrelated,0.700048372,-0.100442346,0.139596183,6
c236,A. mellifera,C,A. m. carnica,,Slovenia,46.015913,14.490188,N,24.8971,Unrelated,0.709373524,-0.101197272,0.139312836,6
c273,A. mellifera,C,A. m. carnica,,Slovenia,46.015913,14.490188,N,27.8178,Unrelated,0.701436878,-0.100367709,0.139982382,6
CostaRica_HB_01,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,21.0359,Related,0.052580704,0.020708517,-0.016304581,9
CostaRica_HB_02,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,21.4196,Unrelated,0.067360434,0.018759172,-0.024267293,9
CostaRica_HB_03,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,24.2403,Unrelated,0.052917783,0.01650142,-0.020487002,9
CostaRica_HB_04,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,20.552,Related,0.063646708,0.015689194,-0.014718791,9
CostaRica_HB_05,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,24.5529,Related,0.054559042,0.017290521,-0.022651344,9
CostaRica_HB_06,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,23.7003,Related,0.065401842,0.017537564,-0.019168985,9
CostaRica_HB_07,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,20.2327,Related,0.056478688,0.014692784,-0.023324769,9
CostaRica_HB_08,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,20.8051,Related,0.070970392,0.021655029,-0.01668359,9
CostaRica_HB_09,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,25.2451,Unrelated,0.052115579,0.018749857,-0.020381659,9
CostaRica_HB_10,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,12.6473,Related,0.082455015,0.017046697,-0.016814724,9
CostaRica_HB_11,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,23.3206,Related,0.064938601,0.020730613,-0.017247388,9
CostaRica_HB_12,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,20.6178,Unrelated,0.053024858,0.015000989,-0.021060109,9
CostaRica_HB_13,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,22.9744,Related,0.051017187,0.011046286,-0.024530843,9
CostaRica_HB_14,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,22.86,Unrelated,0.065035021,0.017555418,-0.022315835,9
CostaRica_HB_15,A. mellifera,Meso,Costa Rica-Zarate,Santa Rosa,Costa Rica,10.8379,-85.7051,Y,23.8875,Related,0.063997866,0.020511663,-0.016869258,9
ECR_32_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,13.8166,Related,0.153797808,-0.051903092,0.028344393,8
ECR_32_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,14.7419,Unrelated,0.143526115,-0.051694522,0.035801329,8
ECR_32_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,13.7755,Related,0.158047194,-0.052627392,0.033333177,8
ECR_33_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,24.5237,Unrelated,0.04182194,-0.041989794,0.020592829,8
ECR_33_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,17.7378,Related,0.07204027,-0.037350721,0.017733595,8
ECR_33_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.6074,Related,0.106806392,-0.039643273,0.024231322,8
ECR_34_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.5489,Related,0.074270142,-0.042144458,0.027058635,8
ECR_34_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,19.6199,Related,0.072269562,-0.042603617,0.032912962,8
ECR_34_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,22.2204,Unrelated,0.141643876,-0.044615393,0.032544309,8
ECR_35_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,14.4559,Related,0.138551438,-0.047883069,0.024175304,8
ECR_35_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.4591,Unrelated,0.081880702,-0.041337694,0.027473412,8
ECR_35_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,13.7605,Related,0.114357821,-0.036926912,0.022329766,8
ECR_37_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.9525,Related,0.128353963,-0.043248006,0.025958759,8
ECR_37_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.4156,Related,0.109931975,-0.041197387,0.026568536,8
ECR_37_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.1875,Unrelated,0.092822505,-0.038212533,0.026357412,8
ECR_39_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,12.5528,Related,0.162657538,-0.051710842,0.032498455,8
